================ Precision Log (Fri Apr 11 16:02:27 2025) ================
Epoch:10  sam 20.44601058959961,psnr 11.65909481048584,ergas 6.653976707768598,cc 0.427541404971794,rmse 0.22572086294810234,Ssim 0.04832340042065707,Uqi 0.25481874086097656
Epoch:20  sam 18.05137825012207,psnr 18.510927200317383,ergas 3.2619052940434514,cc 0.48124236610784044,rmse 0.1097920656457248,Ssim 0.3390152219850893,Uqi 0.8552526326678274
Epoch:30  sam 15.146880149841309,psnr 19.74832534790039,ergas 3.0243498806581006,cc 0.553464151511693,rmse 0.09074615093315917,Ssim 0.4962881622483722,Uqi 0.9097873333380951
Epoch:40  sam 14.159463882446289,psnr 21.066011428833008,ergas 2.4868487408694464,cc 0.6312398168220007,rmse 0.0756852647644249,Ssim 0.5382949155667074,Uqi 0.9312788688685748
Epoch:50  sam 13.337614059448242,psnr 21.763290405273438,ergas 2.3070564074754487,cc 0.657062058573854,rmse 0.07037566687448203,Ssim 0.573959374396234,Uqi 0.9395660059074663
Epoch:60  sam 12.372407913208008,psnr 22.486690521240234,ergas 2.163739955449542,cc 0.670291072426321,rmse 0.06568799278188343,Ssim 0.6017772583686942,Uqi 0.9457040420214836
Epoch:70  sam 11.523114204406738,psnr 23.143171310424805,ergas 2.0704985746292994,cc 0.6818411868499685,rmse 0.06177247138628422,Ssim 0.6307040210287048,Uqi 0.9508990084115189
Epoch:80  sam 10.876249313354492,psnr 23.74058723449707,ergas 1.9869546845425945,cc 0.6892253600319707,rmse 0.0586557911640688,Ssim 0.6449124148864857,Uqi 0.9545055429738113
Epoch:90  sam 10.34068489074707,psnr 24.192520141601562,ergas 1.9278094284804925,cc 0.695883969685135,rmse 0.05662988969412197,Ssim 0.6499836616779459,Uqi 0.9568533825710508
Epoch:100  sam 9.913564682006836,psnr 24.694236755371094,ergas 1.8595633082633163,cc 0.7034471980357834,rmse 0.05405589021982305,Ssim 0.6632943591217059,Uqi 0.9594020759838274
Epoch:110  sam 9.388727188110352,psnr 24.76736831665039,ergas 1.8172928417792644,cc 0.7111984259380176,rmse 0.05359000572935354,Ssim 0.6949788382604264,Uqi 0.9600188070790329
Epoch:120  sam 8.461339950561523,psnr 26.015737533569336,ergas 1.5648793371419594,cc 0.7848012789429574,rmse 0.04685531558732195,Ssim 0.7082262512059267,Uqi 0.9707111332696139
Epoch:130  sam 8.181063652038574,psnr 26.087766647338867,ergas 1.553381250031302,cc 0.8123667675360678,rmse 0.045126697600236694,Ssim 0.7085960113258508,Uqi 0.9716689296792043
Epoch:140  sam 6.707283973693848,psnr 27.532764434814453,ergas 1.2789407369716437,cc 0.8773621064028377,rmse 0.037568346907077936,Ssim 0.7549555637072425,Uqi 0.9809635286181818
Epoch:150  sam 5.994058132171631,psnr 27.718795776367188,ergas 1.1875204609653598,cc 0.9030189583376623,rmse 0.03521946655432849,Ssim 0.790181033120516,Uqi 0.9827996972791304
Epoch:160  sam 5.828569412231445,psnr 27.942691802978516,ergas 1.133769475334333,cc 0.9146662703430011,rmse 0.033676609829222465,Ssim 0.8026686474021665,Uqi 0.9852436956532216
Epoch:170  sam 5.567162990570068,psnr 28.326871871948242,ergas 1.1211139110423802,cc 0.9192379890190531,rmse 0.034067579593413146,Ssim 0.8148653449933138,Uqi 0.9856478102858811
Epoch:180  sam 5.142263412475586,psnr 28.034618377685547,ergas 1.1095491010154097,cc 0.92830668696813,rmse 0.03404068013823706,Ssim 0.840043000911714,Uqi 0.984829934591859
Epoch:190  sam 4.840473651885986,psnr 29.830026626586914,ergas 0.9324954637138619,cc 0.9327365933098523,rmse 0.027987095587892842,Ssim 0.8497841537597336,Uqi 0.9901582741426828
Epoch:200  sam 4.633427143096924,psnr 27.726524353027344,ergas 1.102046758730149,cc 0.9365494438337242,rmse 0.03403955487901687,Ssim 0.8514792066790462,Uqi 0.9857960537063358
Epoch:210  sam 4.876120567321777,psnr 29.586854934692383,ergas 0.9565540547114518,cc 0.9354774461152923,rmse 0.028381441395119188,Ssim 0.8548699920940868,Uqi 0.9895864727407727
Epoch:220  sam 4.605953693389893,psnr 27.89490509033203,ergas 1.0763903606668503,cc 0.9379388410605088,rmse 0.034265422171257665,Ssim 0.8649297094186854,Uqi 0.9865024242728112
Epoch:230  sam 4.530599594116211,psnr 28.62687110900879,ergas 1.0347165670795107,cc 0.9378246294237728,rmse 0.030833912673104966,Ssim 0.8592227567292755,Uqi 0.9883458027595131
Epoch:240  sam 4.281489849090576,psnr 29.977872848510742,ergas 0.903578595681601,cc 0.942575107798156,rmse 0.026680559554195255,Ssim 0.8704459942756188,Uqi 0.9910121720072338
Epoch:250  sam 4.134899616241455,psnr 29.663619995117188,ergas 0.9055915199778777,cc 0.9466496095412739,rmse 0.027504840314966243,Ssim 0.8837479840803868,Uqi 0.9901210983008492
Epoch:260  sam 3.9990177154541016,psnr 29.29309844970703,ergas 0.9533292522880199,cc 0.9518720340470582,rmse 0.028577110666298054,Ssim 0.8878392470956852,Uqi 0.9892451484523213
Epoch:270  sam 3.7726376056671143,psnr 29.835765838623047,ergas 0.8840539305400079,cc 0.9529845859752804,rmse 0.02665950337496129,Ssim 0.893426628492166,Uqi 0.991224554534589
Epoch:280  sam 3.8403806686401367,psnr 31.08833122253418,ergas 0.7884539908156515,cc 0.950136681782843,rmse 0.023766208939962,Ssim 0.8911104106148229,Uqi 0.9932742575381832
